job,city,month,job_postings_count
Frontend Developer,Hồ Chí Minh,2023-01,22
Frontend Developer,Hồ Chí Minh,2023-02,27
Frontend Developer,Hồ Chí Minh,2023-03,14
Frontend Developer,Hồ Chí Minh,2023-04,23
Frontend Developer,Hồ Chí Minh,2023-05,30
Frontend Developer,Hồ Chí Minh,2023-06,22
Frontend Developer,Hồ Chí Minh,2023-07,28
Frontend Developer,Hồ Chí Minh,2023-08,28
Frontend Developer,Hồ Chí Minh,2023-09,22
Frontend Developer,Hồ Chí Minh,2023-10,16
Frontend Developer,Hồ Chí Minh,2023-11,23
Frontend Developer,Hồ Chí Minh,2023-12,21
Frontend Developer,Hồ Chí Minh,2024-01,26
Frontend Developer,Hồ Chí Minh,2024-02,25
Frontend Developer,Hồ Chí Minh,2024-03,32
Frontend Developer,Hồ Chí Minh,2024-04,28
Frontend Developer,Hồ Chí Minh,2024-05,20
Frontend Developer,Đà Nẵng,2023-01,22
Frontend Developer,Đà Nẵng,2023-02,20
Frontend Developer,Đà Nẵng,2023-03,19
Frontend Developer,Đà Nẵng,2023-04,32
Frontend Developer,Đà Nẵng,2023-05,25
Frontend Developer,Đà Nẵng,2023-06,30
Frontend Developer,Đà Nẵng,2023-07,31
Frontend Developer,Đà Nẵng,2023-08,31
Frontend Developer,Đà Nẵng,2023-09,24
Frontend Developer,Đà Nẵng,2023-10,13
Frontend Developer,Đà Nẵng,2023-11,26
Frontend Developer,Đà Nẵng,2023-12,17
Frontend Developer,Đà Nẵng,2024-01,28
Frontend Developer,Đà Nẵng,2024-02,14
Frontend Developer,Đà Nẵng,2024-03,23
Frontend Developer,Đà Nẵng,2024-04,18
Frontend Developer,Đà Nẵng,2024-05,17
Java Developer,Hà Nội,2023-01,20
Java Developer,Hà Nội,2023-02,13
Java Developer,Hà Nội,2023-03,26
Java Developer,Hà Nội,2023-04,25
Java Developer,Hà Nội,2023-05,19
Java Developer,Hà Nội,2023-06,28
Java Developer,Hà Nội,2023-07,26
Java Developer,Hà Nội,2023-08,27
Java Developer,Hà Nội,2023-09,17
Java Developer,Hà Nội,2023-10,26
Java Developer,Hà Nội,2023-11,25
Java Developer,Hà Nội,2023-12,22
Java Developer,Hà Nội,2024-01,23
Java Developer,Hà Nội,2024-02,20
Java Developer,Hà Nội,2024-03,22
Java Developer,Hà Nội,2024-04,15
Java Developer,Hà Nội,2024-05,20
Java Developer,Hồ Chí Minh,2023-01,17
Java Developer,Hồ Chí Minh,2023-02,18
Java Developer,Hồ Chí Minh,2023-03,31
Java Developer,Hồ Chí Minh,2023-04,26
Java Developer,Hồ Chí Minh,2023-05,37
Java Developer,Hồ Chí Minh,2023-06,29
Java Developer,Hồ Chí Minh,2023-07,29
Java Developer,Hồ Chí Minh,2023-08,31
Java Developer,Hồ Chí Minh,2023-09,17
Java Developer,Hồ Chí Minh,2023-10,27
Java Developer,Hồ Chí Minh,2023-11,33
Java Developer,Hồ Chí Minh,2023-12,18
Java Developer,Hồ Chí Minh,2024-01,26
Java Developer,Hồ Chí Minh,2024-02,29
Java Developer,Hồ Chí Minh,2024-03,25
Java Developer,Hồ Chí Minh,2024-04,22
Java Developer,Hồ Chí Minh,2024-05,30
Java Developer,Đà Nẵng,2023-01,21
Java Developer,Đà Nẵng,2023-02,25
Java Developer,Đà Nẵng,2023-03,34
Java Developer,Đà Nẵng,2023-04,26
Java Developer,Đà Nẵng,2023-05,23
Java Developer,Đà Nẵng,2023-06,30
Java Developer,Đà Nẵng,2023-07,15
Java Developer,Đà Nẵng,2023-08,18
Java Developer,Đà Nẵng,2023-09,25
Java Developer,Đà Nẵng,2023-10,34
Java Developer,Đà Nẵng,2023-11,20
Java Developer,Đà Nẵng,2023-12,22
Java Developer,Đà Nẵng,2024-01,24
Java Developer,Đà Nẵng,2024-02,26
Java Developer,Đà Nẵng,2024-03,26
Java Developer,Đà Nẵng,2024-04,24
Java Developer,Đà Nẵng,2024-05,33
NodeJs,Hà Nội,2023-01,30
NodeJs,Hà Nội,2023-02,24
NodeJs,Hà Nội,2023-03,20
NodeJs,Hà Nội,2023-04,18
NodeJs,Hà Nội,2023-05,25
NodeJs,Hà Nội,2023-06,18
NodeJs,Hà Nội,2023-07,31
NodeJs,Hà Nội,2023-08,24
NodeJs,Hà Nội,2023-09,17
NodeJs,Hà Nội,2023-10,25
NodeJs,Hà Nội,2023-11,25
NodeJs,Hà Nội,2023-12,23
NodeJs,Hà Nội,2024-01,24
NodeJs,Hà Nội,2024-02,36
NodeJs,Hà Nội,2024-03,26
NodeJs,Hà Nội,2024-04,34
NodeJs,Hà Nội,2024-05,20
NodeJs,Hồ Chí Minh,2023-01,22
NodeJs,Hồ Chí Minh,2023-02,29
NodeJs,Hồ Chí Minh,2023-03,18
NodeJs,Hồ Chí Minh,2023-04,23
NodeJs,Hồ Chí Minh,2023-05,17
NodeJs,Hồ Chí Minh,2023-06,26
NodeJs,Hồ Chí Minh,2023-07,25
NodeJs,Hồ Chí Minh,2023-08,27
NodeJs,Hồ Chí Minh,2023-09,22
NodeJs,Hồ Chí Minh,2023-10,30
NodeJs,Hồ Chí Minh,2023-11,17
NodeJs,Hồ Chí Minh,2023-12,21
NodeJs,Hồ Chí Minh,2024-01,16
NodeJs,Hồ Chí Minh,2024-02,26
NodeJs,Hồ Chí Minh,2024-03,34
NodeJs,Hồ Chí Minh,2024-04,16
NodeJs,Hồ Chí Minh,2024-05,31
NodeJs,Đà Nẵng,2023-01,36
NodeJs,Đà Nẵng,2023-02,28
NodeJs,Đà Nẵng,2023-03,34
NodeJs,Đà Nẵng,2023-04,30
NodeJs,Đà Nẵng,2023-05,28
NodeJs,Đà Nẵng,2023-06,30
NodeJs,Đà Nẵng,2023-07,34
NodeJs,Đà Nẵng,2023-08,24
NodeJs,Đà Nẵng,2023-09,21
NodeJs,Đà Nẵng,2023-10,33
NodeJs,Đà Nẵng,2023-11,17
NodeJs,Đà Nẵng,2023-12,29
NodeJs,Đà Nẵng,2024-01,19
NodeJs,Đà Nẵng,2024-02,14
NodeJs,Đà Nẵng,2024-03,22
NodeJs,Đà Nẵng,2024-04,27
NodeJs,Đà Nẵng,2024-05,34
Python Developer,Hà Nội,2023-01,20
Python Developer,Hà Nội,2023-02,22
Python Developer,Hà Nội,2023-03,23
Python Developer,Hà Nội,2023-04,33
Python Developer,Hà Nội,2023-05,34
Python Developer,Hà Nội,2023-06,23
Python Developer,Hà Nội,2023-07,29
Python Developer,Hà Nội,2023-08,29
Python Developer,Hà Nội,2023-09,26
Python Developer,Hà Nội,2023-10,33
Python Developer,Hà Nội,2023-11,22
Python Developer,Hà Nội,2023-12,31
Python Developer,Hà Nội,2024-01,26
Python Developer,Hà Nội,2024-02,19
Python Developer,Hà Nội,2024-03,27
Python Developer,Hà Nội,2024-04,21
Python Developer,Hà Nội,2024-05,26
Python Developer,Hồ Chí Minh,2023-01,26
Python Developer,Hồ Chí Minh,2023-02,21
Python Developer,Hồ Chí Minh,2023-03,24
Python Developer,Hồ Chí Minh,2023-04,24
Python Developer,Hồ Chí Minh,2023-05,26
Python Developer,Hồ Chí Minh,2023-06,22
Python Developer,Hồ Chí Minh,2023-07,34
Python Developer,Hồ Chí Minh,2023-08,20
Python Developer,Hồ Chí Minh,2023-09,21
Python Developer,Hồ Chí Minh,2023-10,25
Python Developer,Hồ Chí Minh,2023-11,28
Python Developer,Hồ Chí Minh,2023-12,34
Python Developer,Hồ Chí Minh,2024-01,21
Python Developer,Hồ Chí Minh,2024-02,12
Python Developer,Hồ Chí Minh,2024-03,26
Python Developer,Hồ Chí Minh,2024-04,21
Python Developer,Hồ Chí Minh,2024-05,20
Python Developer,Đà Nẵng,2023-01,19
Python Developer,Đà Nẵng,2023-02,34
Python Developer,Đà Nẵng,2023-03,33
Python Developer,Đà Nẵng,2023-04,29
Python Developer,Đà Nẵng,2023-05,19
Python Developer,Đà Nẵng,2023-06,24
Python Developer,Đà Nẵng,2023-07,25
Python Developer,Đà Nẵng,2023-08,29
Python Developer,Đà Nẵng,2023-09,27
Python Developer,Đà Nẵng,2023-10,19
Python Developer,Đà Nẵng,2023-11,31
Python Developer,Đà Nẵng,2023-12,19
Python Developer,Đà Nẵng,2024-01,21
Python Developer,Đà Nẵng,2024-02,31
Python Developer,Đà Nẵng,2024-03,29
Python Developer,Đà Nẵng,2024-04,21
Python Developer,Đà Nẵng,2024-05,23
ReactJs,Hà Nội,2023-01,36
ReactJs,Hà Nội,2023-02,20
ReactJs,Hà Nội,2023-03,27
ReactJs,Hà Nội,2023-04,24
ReactJs,Hà Nội,2023-05,26
ReactJs,Hà Nội,2023-06,21
ReactJs,Hà Nội,2023-07,34
ReactJs,Hà Nội,2023-08,24
ReactJs,Hà Nội,2023-09,15
ReactJs,Hà Nội,2023-10,25
ReactJs,Hà Nội,2023-11,24
ReactJs,Hà Nội,2023-12,22
ReactJs,Hà Nội,2024-01,31
ReactJs,Hà Nội,2024-02,24
ReactJs,Hà Nội,2024-03,26
ReactJs,Hà Nội,2024-04,21
ReactJs,Hà Nội,2024-05,26
ReactJs,Hồ Chí Minh,2023-01,31
ReactJs,Hồ Chí Minh,2023-02,21
ReactJs,Hồ Chí Minh,2023-03,24
ReactJs,Hồ Chí Minh,2023-04,34
ReactJs,Hồ Chí Minh,2023-05,28
ReactJs,Hồ Chí Minh,2023-06,28
ReactJs,Hồ Chí Minh,2023-07,31
ReactJs,Hồ Chí Minh,2023-08,25
ReactJs,Hồ Chí Minh,2023-09,19
ReactJs,Hồ Chí Minh,2023-10,19
ReactJs,Hồ Chí Minh,2023-11,21
ReactJs,Hồ Chí Minh,2023-12,24
ReactJs,Hồ Chí Minh,2024-01,23
ReactJs,Hồ Chí Minh,2024-02,19
ReactJs,Hồ Chí Minh,2024-03,23
ReactJs,Hồ Chí Minh,2024-04,23
ReactJs,Hồ Chí Minh,2024-05,29
ReactJs,Đà Nẵng,2023-01,28
ReactJs,Đà Nẵng,2023-02,27
ReactJs,Đà Nẵng,2023-03,21
ReactJs,Đà Nẵng,2023-04,21
ReactJs,Đà Nẵng,2023-05,19
ReactJs,Đà Nẵng,2023-06,20
ReactJs,Đà Nẵng,2023-07,22
ReactJs,Đà Nẵng,2023-08,33
ReactJs,Đà Nẵng,2023-09,21
ReactJs,Đà Nẵng,2023-10,29
ReactJs,Đà Nẵng,2023-11,25
ReactJs,Đà Nẵng,2023-12,25
ReactJs,Đà Nẵng,2024-01,17
ReactJs,Đà Nẵng,2024-02,24
ReactJs,Đà Nẵng,2024-03,17
ReactJs,Đà Nẵng,2024-04,18
ReactJs,Đà Nẵng,2024-05,22
